label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
draw,0.397646785,0.835528493,-3.61E-05,0.417028069,0.817532897,-0.011237849,0.430789858,0.787077188,-0.021991214,0.433138847,0.760268748,-0.031467017,0.424399942,0.74539572,-0.039861608,0.416960239,0.739731312,-0.012914122,0.424952298,0.665223718,-0.030773267,0.420644075,0.690459371,-0.02216984,0.429044962,0.644780159,-0.034279726,0.402935922,0.74384135,-0.015231296,0.415532559,0.764980137,-0.043615095,0.41171512,0.733442962,-0.036385007,0.414730668,0.785350442,-0.043585852,0.390379906,0.755668461,-0.01857345,0.403849036,0.776739001,-0.042387608,0.399059176,0.747644782,-0.037999954,0.403099179,0.795370877,-0.042494159,0.377732933,0.77082932,-0.02232199,0.391855985,0.775629759,-0.039362185,0.385510862,0.755451739,-0.036801163,0.39262414,0.791215301,-0.039983593
draw,0.393859446,0.820572972,-2.46E-05,0.418065906,0.786269903,0.003332274,0.431716263,0.747917831,0.002723094,0.434968233,0.714484155,-0.002200691,0.429096967,0.693663001,-0.006263655,0.415052831,0.712681651,0.016251944,0.419302285,0.653706729,0.000148276,0.413678318,0.674679458,0.008890892,0.425483167,0.639256954,-0.004992949,0.403537333,0.714511633,0.008492128,0.413243353,0.702545881,-0.013175448,0.406470239,0.676768064,-0.004362384,0.414716154,0.729366541,-0.013966911,0.391713858,0.720148206,-0.000993663,0.404395789,0.716884613,-0.016669821,0.39792037,0.691498876,-0.012127914,0.40502879,0.74242717,-0.014234472,0.378376752,0.730321825,-0.010799756,0.393160224,0.716137886,-0.020745028,0.385634243,0.700112402,-0.017730312,0.394354194,0.740549505,-0.020017222
draw,0.383615196,0.801865339,-4.38E-05,0.41240114,0.757015884,0.007127511,0.426237166,0.720073164,0.00849035,0.430572331,0.683559477,0.004977843,0.425154984,0.65138483,0.002454068,0.415759206,0.692777038,0.033766992,0.421622932,0.656019509,0.016854491,0.419459492,0.661960423,0.027357148,0.421490431,0.659296513,0.011584102,0.403966635,0.690389991,0.027067423,0.413039505,0.672230899,0.006546115,0.408875763,0.655665874,0.019597242,0.412743837,0.694522202,0.001987402,0.391332895,0.690814614,0.019121714,0.402086645,0.681576073,0.00881188,0.397684574,0.660496116,0.013987837,0.400975525,0.70601213,0.010941448,0.377660573,0.694426358,0.011168837,0.391007334,0.68068403,0.008864238,0.385262549,0.663990974,0.009725098,0.390815526,0.70466578,0.012483324
draw,0.379382163,0.781824708,-3.78E-05,0.410262108,0.736085355,0.012302293,0.423874617,0.699148536,0.017829852,0.429286748,0.664593875,0.018807257,0.424168766,0.635746837,0.018838866,0.411954701,0.674922109,0.037260603,0.422182858,0.637154341,0.021388011,0.415304631,0.645470262,0.035334386,0.425584584,0.643258572,0.009562873,0.400666058,0.672917068,0.028936924,0.41374895,0.64090848,0.012941651,0.406276196,0.635986388,0.028689967,0.414212912,0.661892056,0.002254362,0.388646573,0.671456516,0.020701403,0.402572244,0.651594102,0.015460447,0.396237224,0.636505485,0.021731265,0.401322454,0.677186668,0.014265914,0.375728756,0.670920014,0.012298041,0.390118033,0.649504125,0.011186973,0.383627504,0.637095213,0.013366262,0.389697462,0.674451172,0.011357646
draw,0.378906339,0.76328814,-3.37E-05,0.411193848,0.719802737,0.012506716,0.425071448,0.681208014,0.018328432,0.429900765,0.645328879,0.018536121,0.422917128,0.615852475,0.017676147,0.412327021,0.658538222,0.045668378,0.42141673,0.625412881,0.029414617,0.416835785,0.628012955,0.042480338,0.421944708,0.634092331,0.020440329,0.400507957,0.655401945,0.037435971,0.413075447,0.633173466,0.01851438,0.407527685,0.619921923,0.03477183,0.411949843,0.656426013,0.01140931,0.38809064,0.653910458,0.02864252,0.402098268,0.644135535,0.0204149,0.396128178,0.622245908,0.026824595,0.400557131,0.670727849,0.021632886,0.374720514,0.65395534,0.020209506,0.390732914,0.638784766,0.020421721,0.383907109,0.622508168,0.021001393,0.390725136,0.663961828,0.024474302
draw,0.382496685,0.747503042,-2.19E-05,0.413572937,0.705107987,0.012093011,0.426655531,0.667113066,0.017253643,0.430068642,0.63210088,0.01675161,0.420960426,0.6058864,0.01653124,0.412881643,0.642200291,0.043550555,0.421103239,0.608656049,0.024649417,0.413757354,0.609533548,0.038844083,0.424425215,0.617739379,0.014297085,0.401741862,0.640338898,0.034901574,0.41379866,0.620982409,0.018456506,0.406715661,0.603463054,0.032034256,0.412904978,0.646612704,0.011876863,0.389521122,0.641123712,0.024971288,0.40364933,0.631211638,0.016197719,0.396713316,0.607475877,0.022630915,0.4017362,0.659844458,0.01687457,0.37539655,0.644249797,0.015125712,0.392450094,0.62795043,0.014774088,0.384490013,0.61139071,0.016334595,0.392107904,0.655002236,0.016557753
draw,0.385045022,0.735940993,-3.79E-05,0.412792325,0.696566939,0.007735252,0.426370084,0.660094738,0.010457977,0.429905027,0.625419259,0.008729099,0.421355158,0.602532566,0.007870462,0.412704766,0.631662846,0.034058992,0.421805263,0.601943254,0.015069619,0.414365292,0.599672556,0.028153332,0.425660759,0.612641096,0.00618575,0.402696699,0.631353259,0.027079336,0.4138785,0.616052926,0.007729947,0.407183677,0.596379161,0.020499125,0.414609462,0.640747249,0.001898355,0.391253829,0.633921325,0.018362939,0.402499944,0.629805326,0.00492143,0.397170097,0.605199039,0.011201029,0.401524305,0.65666157,0.006026331,0.377439827,0.63910073,0.009924022,0.391325235,0.622645736,0.004424089,0.384343863,0.607258379,0.006490675,0.392103761,0.64740485,0.006294384
draw,0.389063984,0.72748363,-4.75E-05,0.415066004,0.69232291,0.007904667,0.428842485,0.655697048,0.008903668,0.430299044,0.619719744,0.004937071,0.418295562,0.601302087,0.002437134,0.414166361,0.627936482,0.030651139,0.422584444,0.609216213,0.005172023,0.418153226,0.595943809,0.01768549,0.422611505,0.624857783,0.001378427,0.403829545,0.628657281,0.0229443,0.412127733,0.625339508,-0.0015057,0.409504056,0.595859706,0.009170583,0.408618361,0.648804843,-0.001736057,0.392228305,0.631983221,0.012905452,0.402287513,0.632543385,-0.002681706,0.399104238,0.603616774,0.001138654,0.398973465,0.656605661,0.001687506,0.378184855,0.63812685,0.003651611,0.392902225,0.625566423,0.002323247,0.387693256,0.607706428,0.001564965,0.390805274,0.647326708,0.006985546
draw,0.391649961,0.720859766,-3.27E-05,0.416218132,0.692932665,0.000264666,0.431731045,0.656336367,-0.002384905,0.434155494,0.620722651,-0.009189755,0.422504097,0.600155711,-0.014106945,0.415862828,0.627458692,0.021113643,0.424237549,0.573770225,-0.003240991,0.418637872,0.588251412,0.007126937,0.427187234,0.563144445,-0.006303206,0.40489319,0.626698673,0.014500993,0.416340411,0.615745723,-0.012107776,0.411527127,0.589483321,-0.003477956,0.41450581,0.637339294,-0.011542577,0.392990291,0.63040477,0.004654769,0.40527615,0.63112247,-0.017062504,0.401557475,0.601645231,-0.012176816,0.402192146,0.655482113,-0.013654299,0.379336447,0.637947977,-0.005133271,0.395932376,0.628545463,-0.014395962,0.390253842,0.609422445,-0.013100681,0.394028872,0.65053612,-0.012174102
draw,0.393601507,0.716048658,-2.40E-05,0.41754666,0.691667795,-0.005034933,0.432834417,0.657274008,-0.01078724,0.435370088,0.623341262,-0.017810889,0.42378056,0.605906606,-0.021518581,0.41846469,0.626335442,0.005973906,0.42662704,0.550484419,-0.017146152,0.422295839,0.580823362,-0.007242827,0.428732991,0.524495244,-0.021950247,0.406845331,0.626604676,0.001923368,0.418072402,0.624261618,-0.023184741,0.414974123,0.594421387,-0.018864229,0.414638072,0.644525528,-0.01926413,0.394714534,0.631372154,-0.005451645,0.406975448,0.636251032,-0.025568517,0.403809428,0.606622398,-0.023599956,0.403547525,0.656040132,-0.021230958,0.381657481,0.640110612,-0.012908434,0.397276074,0.634376645,-0.023293393,0.392194271,0.614070773,-0.022808969,0.394630075,0.653747797,-0.021367026
